DR2Name,Prot_Final,Class,Quality,Double,Multi,Eclipsing_Binary,Contaminated,Spot_Evolution,Flares,Notes,RA,Dec,Gmag,BP_RP,Prot,Prot_LS,Power_LS,TESS_Data
2MASS J08294438+2040232,-1.0,,,,,,,,,,127.43493,20.673124,12.418016,nan,-1,0.0,0.0,No
2MASS J08365864+1849522,-1.0,,,,,,,,,,129.244367,18.831177,17.67422,nan,-1,0.0,0.0,No
2MASS J08370450+2016033,-1.0,,,,,,,,,,129.268782,20.26759,9999.0,nan,-1,0.0,0.0,No
2MASS J08411319+1932349,-1.0,,,,,,,,,,130.30496,19.543036,13.874064,nan,-1,0.0,0.0,No
2MASS J08440699+1947301,-1.0,,,,,,,,,,131.029133,19.791702,17.17833,nan,-1,0.0,0.0,No
2MASS J08512584+1918564,-1.0,,,,,,,,,,132.857702,19.315674,16.85026778,nan,-1,0.0,0.0,No
Gaia DR2 1008837274655408128,-1.0,,,,,,,,,,134.947233,42.353664,17.899775,-0.1039,-1,0.0,0.0,No
Gaia DR2 1010346148205963904,-99.0,Garbage,-1,0,0,0,0,0,0,,132.725324,45.469608,13.576477,1.9471,,8.885839178,0.05488769617,Yes
Gaia DR2 1011089697240335488,-99.0,Garbage,-1,0,0,0,0,0,0,,138.008571,45.601158,12.447998,1.4536,,12.56246158,0.1512905143,Yes
Gaia DR2 1011803280287015808,-1.0,,,,,,,,,,140.928617,48.004597,16.673685,2.9718,-1,0.0,0.0,No
Gaia DR2 1011925875833594240,99.0,Flat,0,0,0,0,0,0,0,,138.656917,47.766277,15.458212,2.536,,5.662214251,0.01269950162,Yes
Gaia DR2 1012397085285250304,-1.0,,,,,,,,,,136.989933,47.890354,17.218822,2.9336,-1,0.0,0.0,No
Gaia DR2 1013177528086624128,-1.0,,,,,,,,,,138.35773,50.039318,17.72404916,3.1809,-1,0.0,0.0,No
Gaia DR2 1013753435957830912,-1.0,,,,,,,,,,131.7196,46.972515,15.687652,2.5283,-1,0.0,0.0,No
Gaia DR2 1013838991706311680,-1.0,,,,,,,,,,131.800475,47.447357,15.953276,2.7807,-1,0.0,0.0,No
Gaia DR2 1014666305485854976,-1.0,,,,,,,,,,130.409739,48.086651,17.64084916,3.1871,-1,0.0,0.0,No
Gaia DR2 1019858955307074816,12.41966724,Possibility,1,0,0,0,0,0,0,,140.664531,52.566395,12.897482,1.5305,,12.41995461,0.3579847337,Yes
Gaia DR2 1019917126344048512,-1.0,,,,,,,,,,141.351286,53.293148,16.897284,2.9057,-1,0.0,0.0,No
Gaia DR2 1020532234380320000,-99.0,Garbage,-1,0,0,0,0,0,0,,146.780857,53.472832,12.959024,1.5611,,10.02810035,0.08416821664,Yes
Gaia DR2 1020636791064112896,-99.0,Garbage,-1,0,0,0,0,0,0,,147.675099,53.117023,8.944016,0.7016,,10.12004542,0.1058040342,Yes
Gaia DR2 1023355883319456768,-1.0,,,,,,,,,,140.987162,55.004246,16.497307,2.8923,-1,0.0,0.0,No
Gaia DR2 1023881037561465600,-1.0,,,,,,,,,,137.126754,54.782158,17.31763,3.021,-1,0.0,0.0,No
Gaia DR2 1024529951283561600,-1.0,,,,,,,,,,138.426233,56.801125,17.78597,3.1252,-1,0.0,0.0,No
Gaia DR2 1025403139610393728,-1.0,,,,,,,,,,146.242872,57.884548,17.12581,3.0406,-1,0.0,0.0,No
Gaia DR2 1029711743427385600,-1.0,,,,,,,,,,132.546902,53.397697,18.54909116,3.2598,-1,0.0,0.0,No
Gaia DR2 1030639769895994496,0.7402563548,Publish,1,0,0,0,0,0,0,,129.044427,54.658237,15.620667,2.6536,,0.7401313142,0.1521664371,Yes
Gaia DR2 1033710121756896384,-99.0,Garbage,-1,0,0,0,0,0,0,,127.218696,55.643627,13.829565,1.9745,,9.106492526,0.090509148,Yes
Gaia DR2 1034253314861284480,-1.0,,,,,,,,,,128.957671,56.994534,16.140894,2.8974,-1,0.0,0.0,No
Gaia DR2 1034351171396636672,-99.0,Garbage,-1,0,0,0,0,0,0,,129.502155,57.134998,13.01933,1.5414,,12.5696297,0.315428139,Yes
Gaia DR2 1034689713602266880,-1.0,,,,,,,,,,128.254358,58.539284,19.27100616,3.2439,-1,0.0,0.0,No
Gaia DR2 1036363685695809664,8.198351788,Possibility,1,2,0,0,0,0,0,,134.915117,56.916519,14.902797,2.28,,0.2089662137,0.006559882944,Yes
Gaia DR2 1036813871283902336,99.0,Flat,0,0,0,0,0,0,0,,137.148945,57.511211,15.614,2.5511,,12.49100487,0.0182330651,Yes
Gaia DR2 1036989140309570816,1.768477301,Publish,1,0,0,0,0,0,2,,133.542102,56.292957,15.383227,2.5751,,1.770510465,0.2674858625,Yes
Gaia DR2 1037156571018919296,-1.0,,,,,,,,,,134.50459,57.466476,17.61258,3.2241,-1,0.0,0.0,No
